iter	PRAUC	Logloss
0	0.760949309	0.6638002522
1	0.7621954787	0.6374254272
2	0.7714414694	0.6238834561
3	0.7880008016	0.6042572275
4	0.7938088769	0.5872453188
5	0.794522999	0.5790821688
6	0.7980921872	0.5672640882
7	0.7981976868	0.554241285
8	0.8078275837	0.5493640204
9	0.807067674	0.5389849073
10	0.8060831716	0.5318287874
11	0.8098618858	0.5281670753
12	0.8130247724	0.5250474688
13	0.8206301069	0.5209383865
14	0.8207935428	0.5174985111
15	0.8231282769	0.5135345409
16	0.8254545414	0.5109223567
17	0.8230443941	0.5057850757
18	0.8202896611	0.5018335112
19	0.8215579066	0.5001142395
20	0.8234826129	0.495928189
21	0.8254079459	0.4935962861
22	0.8254032519	0.4923715214
23	0.8260417359	0.4908902371
24	0.8273513095	0.4890428092
25	0.8273251901	0.488200726
26	0.8285031925	0.4875120875
27	0.8299075993	0.4863287308
28	0.8336499818	0.4850860136
29	0.8326405145	0.4819757274
30	0.8334379545	0.4807554726
31	0.8339610575	0.4797783331
32	0.8362672375	0.4771163281
33	0.8373949715	0.4764615573
34	0.8398325761	0.4753979501
35	0.8431381324	0.4738939566
36	0.8437089693	0.4718952873
37	0.8469364672	0.4707064658
38	0.8469657788	0.4696440971
39	0.8518747323	0.4675474706
40	0.8521728748	0.4661570098
41	0.8519583996	0.4647222172
42	0.8531221914	0.4636457009
43	0.853849272	0.4630140943
44	0.8550584103	0.4619039899
45	0.8577238099	0.46080104
46	0.858339775	0.4601244275
47	0.8605387734	0.4580501215
48	0.8609197402	0.4575358543
49	0.8615170264	0.4563715441
50	0.8620608011	0.4556935938
51	0.8671842875	0.4527746884
52	0.8682183267	0.452297165
53	0.8687109553	0.451227028
54	0.8697277449	0.4500005209
55	0.8718018686	0.449156037
56	0.8724824707	0.4480021744
57	0.8731871808	0.4471969496
58	0.8732582818	0.4469450875
59	0.8758491306	0.4452900773
60	0.8765484106	0.4446199092
61	0.876485101	0.4442660112
62	0.8772302848	0.4438728674
63	0.8776150589	0.4433716403
64	0.878838392	0.4427264851
65	0.8792956137	0.4423131294
66	0.8796333035	0.4419208406
67	0.8802671239	0.4408844003
68	0.8801367582	0.4395834104
69	0.8800615352	0.4390640535
70	0.8800589691	0.438179782
71	0.8799372741	0.4375754819
72	0.8801398626	0.4370848
73	0.8802190697	0.4364520689
74	0.8813186763	0.4351997151
75	0.881978233	0.4341261895
76	0.8824505343	0.4337621289
77	0.8839276992	0.4322749857
78	0.8842479718	0.4319370845
79	0.8844981602	0.4306016815
80	0.8855748667	0.4299066703
81	0.8858964668	0.4294042435
82	0.8859753566	0.4292244143
83	0.8857264001	0.4289337916
84	0.8862691259	0.4285926945
85	0.8867422757	0.428062938
86	0.8877697449	0.427066323
87	0.8881278295	0.4265879578
88	0.8885573257	0.4261688917
89	0.8891475026	0.4258455491
90	0.8894810822	0.4256458247
91	0.8899647447	0.4249871724
92	0.8908290585	0.4243129237
93	0.8909098815	0.4241651846
94	0.8912099391	0.423279165
95	0.8922562198	0.422455318
96	0.8932978541	0.4216900809
97	0.8944079558	0.420296153
98	0.8946385697	0.419712839
99	0.8957529035	0.4189475645
100	0.8959968363	0.4176918922
101	0.8971300478	0.4169095586
102	0.8971745753	0.4163753818
103	0.8971827505	0.4161042001
104	0.897913056	0.4154662939
105	0.8976388034	0.414310867
106	0.898476925	0.4137661749
107	0.8987506288	0.4135071521
108	0.8992143928	0.4131076041
109	0.8999841862	0.4123492404
110	0.9001270362	0.4116749049
111	0.900868912	0.4112637939
112	0.9016137137	0.4106145484
113	0.9017700529	0.4103538522
114	0.9019161873	0.4101813963
115	0.9024812316	0.4094011993
116	0.9029430887	0.40900563
117	0.9037346029	0.4082537173
118	0.9040026227	0.4078227004
119	0.9047915482	0.4069040132
120	0.9054751592	0.4062146562
121	0.906227519	0.4054850478
122	0.9070585105	0.4044430193
123	0.907263817	0.4041143625
124	0.9078125949	0.4034426174
125	0.9082192336	0.4030366355
126	0.9081702531	0.4028074359
127	0.9087278167	0.4024761913
128	0.9096120629	0.4014579377
129	0.9100444351	0.400635115
130	0.9100575308	0.4004477527
131	0.9101590338	0.400018019
132	0.9111109428	0.3992064765
133	0.9118823005	0.398413584
134	0.9120331677	0.3982611386
135	0.9122773725	0.3980074307
136	0.9124382076	0.3975123651
137	0.9128822654	0.3966433905
138	0.9132905148	0.3957718979
139	0.9134960387	0.3955333258
140	0.913785599	0.3949505168
141	0.9144353451	0.3935808854
142	0.9153008672	0.392917389
143	0.9158821958	0.3923453606
144	0.9164582641	0.3919516901
145	0.916595928	0.39177536
146	0.9169415817	0.391217537
147	0.9172214586	0.390959929
148	0.9176099401	0.3903508193
149	0.9179267984	0.3898191905
150	0.9180703479	0.3894410825
151	0.9189196192	0.3884859339
152	0.9192195727	0.3876260644
153	0.9201956619	0.3869001491
154	0.920191217	0.3863204121
155	0.920258827	0.3861821599
156	0.9205053027	0.3857510513
157	0.920933407	0.3852504807
158	0.9211968603	0.3844228587
159	0.9222278579	0.3836147368
160	0.9231277212	0.3824795981
161	0.9233395521	0.3821200403
162	0.9235382023	0.3819741945
163	0.9235200768	0.3815849759
164	0.9240680498	0.3810221056
165	0.9251905259	0.3792219656
166	0.9253225297	0.3789316583
167	0.9254723834	0.37841082
168	0.9259377869	0.3778823948
169	0.926056604	0.3774860323
170	0.9264330284	0.3771301095
171	0.9266614708	0.3767156742
172	0.9269366451	0.3760793963
173	0.9270768973	0.3754577643
174	0.9272616525	0.3746358877
175	0.9277677385	0.3738059879
176	0.9282352186	0.3731754833
177	0.9285150228	0.3727920256
178	0.9286264597	0.372109064
179	0.9288453387	0.3718052411
180	0.9300450291	0.3698715369
181	0.9299141959	0.369506095
182	0.9301780337	0.3691152094
183	0.9302961085	0.3688489962
184	0.9305377378	0.3681361964
185	0.9308257183	0.3678376065
186	0.9311990349	0.3671508877
187	0.9315187088	0.3669061973
188	0.9320972124	0.365754768
189	0.932416522	0.3649577572
190	0.9330876371	0.3638517166
191	0.933648816	0.3627833792
192	0.9340569233	0.3623191049
193	0.9343873907	0.3618570928
194	0.9347648474	0.3612726389
195	0.9349306663	0.3604855271
196	0.9352730595	0.359926638
197	0.9356134567	0.3591907066
198	0.935955735	0.3586880693
199	0.9360449704	0.3582493136
200	0.936513345	0.3576413341
201	0.9370918394	0.356501469
202	0.9374629265	0.3559432439
203	0.9377225722	0.3556296248
204	0.9380757689	0.3546987687
205	0.9385133559	0.3541984988
206	0.9387596471	0.3537911919
207	0.9391765354	0.353397894
208	0.9395381905	0.3526394693
209	0.9399442259	0.3519180497
210	0.9402207596	0.3514222234
211	0.9405176729	0.3508499186
212	0.9407034883	0.3500969193
213	0.9413068807	0.3494849559
214	0.9418406192	0.3488468019
215	0.9421983336	0.3483121496
216	0.9422833105	0.3481909739
217	0.9429734917	0.3472331277
218	0.9429942974	0.3462075694
219	0.9435409702	0.3453881832
220	0.9437132917	0.3450182552
221	0.9439699982	0.3446267782
222	0.9441317675	0.3444697846
223	0.9444900654	0.3440627393
224	0.9450587452	0.342529635
225	0.9454048488	0.3420609176
226	0.9458416315	0.3410592175
227	0.9459554305	0.3404961667
228	0.9460086393	0.3401520304
229	0.9464316717	0.3392540656
230	0.946445098	0.3391792986
231	0.9469508942	0.3384375509
232	0.9473808288	0.3378496184
233	0.9479947626	0.3373976134
234	0.9481421241	0.3366161228
235	0.9482806783	0.336429479
236	0.9489056839	0.3355096481
237	0.9492205779	0.3350543684
238	0.9497243588	0.3341734422
239	0.9498844461	0.333672205
240	0.9499171963	0.333424336
241	0.9499471925	0.3330605222
242	0.9500345825	0.3326167819
243	0.9505500982	0.3321291822
244	0.9508604759	0.3313416837
245	0.95102741	0.3311376471
246	0.9513798839	0.3304053133
247	0.9515937967	0.329841816
248	0.9519918903	0.3292858316
249	0.952101259	0.3288707801
250	0.9521538948	0.3287846314
251	0.9521669451	0.3287650532
252	0.9522025909	0.3286571108
253	0.9522199734	0.3286469957
254	0.9522306644	0.3286345957
255	0.952239934	0.3286245419
256	0.9522509136	0.3286140379
257	0.9522594411	0.3286057163
258	0.9522666305	0.3285966447
259	0.952325162	0.3284633855
260	0.952331609	0.3284550237
261	0.9525953265	0.3279119155
262	0.952695501	0.3277144642
263	0.952824535	0.3273204401
264	0.9528053456	0.3272718191
265	0.9528959357	0.3270472068
266	0.9529767498	0.3269081731
267	0.9529795532	0.326898317
268	0.9529672703	0.3268465258
269	0.9529986176	0.3267858308
270	0.9530022398	0.3267770958
271	0.9532489462	0.3256245949
272	0.9532555003	0.3256155087
273	0.9533101805	0.3254980578
274	0.9533149403	0.3254898311
275	0.9535035698	0.3249820497
276	0.9538409127	0.3245110021
277	0.9543798709	0.3235027925
278	0.9547825608	0.3229508051
279	0.9547975736	0.3229020125
280	0.9548382183	0.3227937125
281	0.954851793	0.3227228733
282	0.9550760814	0.3223149984
283	0.9551608644	0.3221665805
284	0.9551620911	0.3221583116
285	0.9551747001	0.3221109957
286	0.9551780975	0.3221037353
287	0.9556341645	0.3214037907
288	0.9556361916	0.3213964949
289	0.9560110493	0.3207573079
290	0.9564147343	0.3201432724
291	0.9566379158	0.3196732487
292	0.957287655	0.3188377324
293	0.9575867102	0.3182507816
294	0.9577477487	0.3178433153
295	0.9578628556	0.3170413593
296	0.958323691	0.3163329277
297	0.9585300521	0.315846545
298	0.9587205436	0.3152164615
299	0.9588117993	0.3150435103
300	0.959019392	0.314589361
301	0.9594399575	0.3139604206
302	0.959688951	0.312742282
303	0.9596934337	0.3127343629
304	0.9598791643	0.3122043089
305	0.9601889141	0.3117605322
306	0.9604474121	0.311247032
307	0.960785333	0.3106459306
308	0.9611298915	0.309948298
309	0.961133251	0.3099160862
310	0.9611420932	0.3098882117
311	0.9611514275	0.3098314742
312	0.9612935304	0.3095455108
313	0.9615141359	0.3091614039
314	0.9615283775	0.3091308359
315	0.9615311339	0.3091218861
316	0.9615333513	0.3091112707
317	0.9615356327	0.3091025268
318	0.9617733848	0.308590271
319	0.9620618631	0.3079574345
320	0.9622308449	0.3072852248
321	0.9622659463	0.3072301565
322	0.9623723599	0.306796028
323	0.962577158	0.3063877714
