iter	Passed	Remaining
0	29	11712
1	45	9131
2	68	9045
3	89	8826
4	110	8748
5	128	8460
6	147	8279
7	168	8270
8	191	8321
9	211	8256
10	234	8287
11	253	8181
12	274	8169
13	299	8247
14	326	8392
15	355	8525
16	373	8417
17	396	8421
18	415	8339
19	448	8528
20	472	8525
21	494	8488
22	509	8357
23	526	8249
24	542	8132
25	557	8020
26	572	7908
27	587	7801
28	603	7715
29	619	7634
30	636	7572
31	652	7504
32	668	7430
33	683	7358
34	698	7279
35	713	7218
36	730	7164
37	745	7105
38	761	7046
39	775	6983
40	791	6933
41	806	6872
42	821	6820
43	837	6776
44	854	6739
45	870	6696
46	885	6648
47	900	6602
48	915	6555
49	930	6512
50	944	6465
51	969	6489
52	995	6514
53	1016	6514
54	1036	6501
55	1056	6486
56	1071	6448
57	1088	6417
58	1112	6432
59	1139	6458
60	1161	6457
61	1184	6455
62	1205	6450
63	1230	6460
64	1261	6502
65	1289	6525
66	1317	6546
67	1343	6559
68	1368	6567
69	1394	6572
70	1415	6559
71	1437	6548
72	1459	6536
73	1480	6524
74	1507	6532
75	1529	6520
76	1553	6514
77	1575	6503
78	1597	6490
79	1627	6510
80	1653	6511
81	1677	6507
82	1702	6502
83	1725	6490
84	1743	6462
85	1769	6459
86	1794	6456
87	1819	6452
88	1843	6442
89	1870	6442
90	1890	6420
91	1913	6406
92	1935	6389
93	1958	6377
94	1985	6375
95	2011	6370
96	2036	6361
97	2058	6344
98	2082	6332
99	2103	6310
100	2127	6298
101	2151	6286
102	2173	6268
103	2196	6251
104	2219	6234
105	2240	6213
106	2265	6203
107	2292	6198
108	2320	6194
109	2350	6197
110	2375	6184
111	2399	6169
112	2422	6153
113	2442	6127
114	2465	6109
115	2489	6095
116	2513	6078
117	2541	6074
118	2565	6058
119	2588	6039
120	2608	6015
121	2630	5994
122	2654	5978
123	2676	5957
124	2698	5937
125	2718	5912
126	2745	5900
127	2769	5885
128	2793	5867
129	2817	5851
130	2839	5830
131	2860	5808
132	2881	5785
133	2903	5763
134	2927	5747
135	2954	5734
136	2974	5710
137	2995	5686
138	3017	5666
139	3041	5648
140	3065	5631
141	3087	5610
142	3110	5589
143	3132	5568
144	3153	5545
145	3176	5525
146	3202	5512
147	3230	5500
148	3261	5493
149	3282	5471
150	3304	5448
151	3331	5436
152	3355	5416
153	3377	5395
154	3400	5375
155	3421	5352
156	3444	5331
157	3465	5307
158	3487	5285
159	3510	5266
160	3534	5246
161	3562	5234
162	3588	5217
163	3612	5199
164	3635	5177
165	3653	5150
166	3675	5127
167	3698	5106
168	3721	5086
169	3743	5064
170	3764	5041
171	3789	5023
172	3813	5003
173	3836	4983
174	3859	4962
175	3882	4941
176	3905	4920
177	3928	4899
178	3951	4879
179	3975	4859
180	4000	4840
181	4025	4822
182	4047	4799
183	4070	4777
184	4089	4752
185	4113	4732
186	4136	4712
187	4159	4690
188	4180	4667
189	4205	4647
190	4234	4633
191	4258	4613
192	4283	4594
193	4310	4576
194	4336	4558
195	4360	4538
196	4382	4515
197	4402	4491
198	4426	4470
199	4447	4447
200	4470	4426
201	4493	4404
202	4515	4381
203	4534	4356
204	4556	4333
205	4579	4312
206	4603	4292
207	4626	4270
208	4649	4249
209	4670	4226
210	4692	4203
211	4716	4182
212	4739	4160
213	4763	4140
214	4784	4116
215	4808	4095
216	4830	4073
217	4855	4053
218	4879	4032
219	4904	4013
220	4926	3990
221	4947	3967
222	4967	3942
223	4989	3920
224	5012	3898
225	5033	3875
226	5058	3855
227	5077	3830
228	5100	3808
229	5124	3787
230	5147	3765
231	5172	3745
232	5196	3724
233	5219	3703
234	5241	3680
235	5268	3661
236	5292	3640
237	5318	3619
238	5345	3601
239	5367	3578
240	5388	3555
241	5409	3532
242	5432	3510
243	5457	3489
244	5481	3467
245	5502	3444
246	5523	3421
247	5545	3399
248	5567	3376
249	5590	3354
250	5612	3331
251	5632	3307
252	5652	3284
253	5678	3263
254	5700	3241
255	5720	3217
256	5740	3193
257	5758	3169
258	5781	3147
259	5800	3123
260	5819	3099
261	5840	3076
262	5862	3053
263	5893	3035
264	5917	3014
265	5936	2990
266	5956	2967
267	5978	2944
268	6000	2922
269	6022	2899
270	6040	2875
271	6061	2852
272	6083	2830
273	6103	2806
274	6126	2784
275	6150	2763
276	6177	2743
277	6198	2720
278	6223	2699
279	6242	2675
280	6261	2651
281	6287	2631
282	6316	2611
283	6342	2590
284	6363	2567
285	6384	2544
286	6405	2522
287	6427	2499
288	6451	2477
289	6477	2456
290	6498	2433
291	6522	2412
292	6542	2389
293	6565	2367
294	6589	2345
295	6613	2323
296	6635	2301
297	6656	2278
298	6678	2256
299	6700	2233
300	6723	2211
301	6746	2189
302	6767	2166
303	6788	2143
304	6810	2121
305	6834	2099
306	6858	2077
307	6879	2054
308	6899	2031
309	6919	2008
310	6944	1987
311	6966	1964
312	6986	1941
313	7005	1918
314	7027	1896
315	7053	1875
316	7074	1852
317	7093	1829
318	7114	1806
319	7141	1785
320	7169	1764
321	7191	1741
322	7211	1719
323	7233	1696
324	7254	1674
325	7277	1651
326	7299	1629
327	7322	1607
328	7346	1585
329	7367	1562
330	7388	1540
331	7411	1518
332	7435	1496
333	7455	1473
334	7473	1450
335	7495	1427
336	7518	1405
337	7541	1383
338	7561	1360
339	7583	1338
340	7605	1315
341	7626	1293
342	7649	1271
343	7668	1248
344	7689	1225
345	7711	1203
346	7735	1181
347	7759	1159
348	7780	1137
349	7802	1114
350	7822	1092
351	7845	1069
352	7868	1047
353	7889	1025
354	7910	1002
355	7933	980
356	7954	958
357	7977	935
358	7997	913
359	8018	890
360	8038	868
361	8060	846
362	8084	824
363	8110	802
364	8139	780
365	8159	757
366	8180	735
367	8203	713
368	8226	691
369	8250	668
370	8271	646
371	8293	624
372	8317	602
373	8340	579
374	8363	557
375	8387	535
376	8413	513
377	8434	490
378	8456	468
379	8479	446
380	8501	423
381	8524	401
382	8548	379
383	8568	357
384	8588	334
385	8609	312
386	8631	289
387	8654	267
388	8674	245
389	8693	222
390	8717	200
391	8742	178
392	8766	156
393	8786	133
394	8807	111
395	8833	89
396	8855	66
397	8880	44
398	8905	22
399	8925	0
